Text,People,Organizations,Locations,Date,Event,Domain,clean_text,processed_text
"A famous installation by Ludwig van Beethoven is housed in Tate Modern in New York, USA.",Ludwig van Beethoven,Tate Modern,"New York, USA",1558-01-27,installation,Arts,a famous installation by ludwig van beethoven is housed in tate modern in new york usa,famous installation ludwig van beethoven housed tate modern new york usa
"The final match in London, UK featured M.S. Dhoni and Team India.",M.S. Dhoni,Team India,"London, UK",1576-02-22,final match,Sports,the final match in london uk featured ms dhoni and team india,final match london uk featured m dhoni team india
Team India announced a new season opener for 2022-2023.,Lionel Messi,Team India,"Melbourne, Australia",1772-04-16,season opener,Sports,team india announced a new season opener for,team india announced new season opener
"Researchers at Harvard University reported a field research in Cambridge, UK.",Rosalind Franklin,Harvard University,"Cambridge, UK",1545-08-21,field research,Science,researchers at harvard university reported a field research in cambridge uk,researcher harvard university reported field research cambridge uk
"Records show uprising happened in Versailles, France around 1717-08-11.",Winston Churchill,Allied Powers,"Versailles, France",1717-08-11,uprising,History,records show uprising happened in versailles france around,record show uprising happened versailles france around
"Elon Musk led the launch of a quantum computing in London, UK.",Elon Musk,SpaceX,"London, UK",1559-07-27,quantum computing,Technology,elon musk led the launch of a quantum computing in london uk,elon musk led launch quantum computing london uk
"Researchers at NASA reported a particle discovery in Cambridge, UK.",Marie Curie,NASA; Max Planck Institute,"Cambridge, UK",1707-05-19,particle discovery,Science,researchers at nasa reported a particle discovery in cambridge uk,researcher nasa reported particle discovery cambridge uk
"Sundar Pichai led the launch of a 5G networks in Silicon Valley, USA.",Sundar Pichai,IBM,"Silicon Valley, USA",1568-10-29,5G networks,Technology,sundar pichai led the launch of a g networks in silicon valley usa,sundar pichai led launch g network silicon valley usa
Sundar Pichai became CEO of Reliance Industries following the IPO.,Sundar Pichai,Reliance Industries; Goldman Sachs,"Seoul, South Korea",1915-09-13,IPO,Business,sundar pichai became ceo of reliance industries following the ipo,sundar pichai became ceo reliance industry following ipo
"The battle marked a turning point in Versailles, France's history.",Julius Caesar,British Empire,"Versailles, France",1861-11-04,battle,History,the battle marked a turning point in versailles frances history,battle marked turning point versailles france history
Queen Elizabeth I was a key figure in the expedition.,Queen Elizabeth I,Roman Senate,"Versailles, France",2024-10-29,expedition,History,queen elizabeth i was a key figure in the expedition,queen elizabeth key figure expedition
"A policy announcement was passed by Parliament impacting Washington, USA.",Narendra Modi,Parliament,"Washington, USA",1636-09-18,policy announcement,Politics,a policy announcement was passed by parliament impacting washington usa,policy announcement passed parliament impacting washington usa
A breakthrough in quantum computing was reported by IBM.,Satya Nadella,IBM,"Stockholm, Sweden",1774-08-14,robotics,Technology,a breakthrough in quantum computing was reported by ibm,breakthrough quantum computing reported ibm
Harvard University announced a climate study that impacts biology.,Marie Curie,Harvard University,"Geneva, Switzerland",1858-09-04,climate study,Science,harvard university announced a climate study that impacts biology,harvard university announced climate study impact biology
acquisition led to restructuring at Samsung.,Sundar Pichai,Samsung,"New York, USA",1959-07-11,acquisition,Business,acquisition led to restructuring at samsung,acquisition led restructuring samsung
"Sundar Pichai led the launch of a robotics in Shenzhen, China.",Sundar Pichai,Apple,"Shenzhen, China",1856-11-09,robotics,Technology,sundar pichai led the launch of a robotics in shenzhen china,sundar pichai led launch robotics shenzhen china
"Records show battle happened in Delhi, India around 1750-10-07.",Nelson Mandela,Allied Powers,"Delhi, India",1750-10-07,battle,History,records show battle happened in delhi india around,record show battle happened delhi india around
"Researchers at Harvard University reported a gene sequencing in Cape Town, South Africa.",Albert Einstein,Harvard University,"Cape Town, South Africa",1739-12-25,gene sequencing,Science,researchers at harvard university reported a gene sequencing in cape town south africa,researcher harvard university reported gene sequencing cape town south africa
"Researchers at Harvard University reported a field research in Cape Town, South Africa.",Isaac Newton,Harvard University,"Cape Town, South Africa",1930-08-19,field research,Science,researchers at harvard university reported a field research in cape town south africa,researcher harvard university reported field research cape town south africa
"Records show Treaty signing happened in Constantinople, Turkey around 1622-01-17.",Julius Caesar,Ottoman Empire,"Constantinople, Turkey",1622-01-17,Treaty signing,History,records show treaty signing happened in constantinople turkey around,record show treaty signing happened constantinople turkey around
"Siemens opened a new office in Frankfurt, Germany to expand consumer electronics.",Sundar Pichai,Siemens,"Frankfurt, Germany",1833-01-16,IPO,Business,siemens opened a new office in frankfurt germany to expand consumer electronics,siemens opened new office frankfurt germany expand consumer electronics
"Barack Obama met leaders from Congress in Washington, USA to discuss bill passage.",Barack Obama,Congress,"Washington, USA",1651-09-17,bill passage,Politics,barack obama met leaders from congress in washington usa to discuss bill passage,barack obama met leader congress washington usa discus bill passage
Mary Barra became CEO of Siemens following the merger.,Mary Barra,Siemens,"Frankfurt, Germany",1538-06-29,merger,Business,mary barra became ceo of siemens following the merger,mary barra became ceo siemens following merger
Team India announced a new season opener for 2023-2024.,M.S. Dhoni,Team India,"Melbourne, Australia",1640-02-17,season opener,Sports,team india announced a new season opener for,team india announced new season opener
Ludwig van Beethoven exhibited a new exhibition at Sydney Opera House.,Ludwig van Beethoven,Sydney Opera House,"Paris, France",1837-03-04,exhibition,Arts,ludwig van beethoven exhibited a new exhibition at sydney opera house,ludwig van beethoven exhibited new exhibition sydney opera house
"Barack Obama announced policy changes regarding climate at Washington, USA.",Barack Obama,European Union,"Washington, USA",1838-08-30,summit,Politics,barack obama announced policy changes regarding climate at washington usa,barack obama announced policy change regarding climate washington usa
"A famous exhibition by Vincent van Gogh is housed in Louvre Museum in Vienna, Austria.",Vincent van Gogh; Beyoncé,Louvre Museum; Metropolitan Opera,"Vienna, Austria",1509-08-04,exhibition,Arts,a famous exhibition by vincent van gogh is housed in louvre museum in vienna austria,famous exhibition vincent van gogh housed louvre museum vienna austria
Mary Barra became CEO of Reliance Industries following the acquisition.,Mary Barra,Reliance Industries,"Frankfurt, Germany",1591-05-12,acquisition,Business,mary barra became ceo of reliance industries following the acquisition,mary barra became ceo reliance industry following acquisition
"Researchers at NASA reported a particle discovery in Geneva, Switzerland.",Isaac Newton,NASA,"Geneva, Switzerland",1976-05-11,particle discovery,Science,researchers at nasa reported a particle discovery in geneva switzerland,researcher nasa reported particle discovery geneva switzerland
A study by Norman Borlaug showed benefits of yield improvement study for rice.,Norman Borlaug,FAO,"Iowa, USA",1577-02-21,yield improvement study,Agriculture,a study by norman borlaug showed benefits of yield improvement study for rice,study norman borlaug showed benefit yield improvement study rice
merger led to restructuring at Goldman Sachs.,Sundar Pichai; Tim Cook,Goldman Sachs,"Frankfurt, Germany",1555-06-28,merger,Business,merger led to restructuring at goldman sachs,merger led restructuring goldman sachs
"Researchers at Harvard University reported a particle discovery in Geneva, Switzerland.",Marie Curie,Harvard University,"Geneva, Switzerland",1552-03-29,particle discovery,Science,researchers at harvard university reported a particle discovery in geneva switzerland,researcher harvard university reported particle discovery geneva switzerland
"Tesla opened a new office in New York, USA to expand manufacturing.",Jamie Dimon,Tesla,"New York, USA",1736-02-13,restructuring,Business,tesla opened a new office in new york usa to expand manufacturing,tesla opened new office new york usa expand manufacturing
Pablo Picasso exhibited a new painting at Tate Modern.,Pablo Picasso,Tate Modern,"Madrid, Spain",1878-02-21,painting,Arts,pablo picasso exhibited a new painting at tate modern,pablo picasso exhibited new painting tate modern
Reliance Industries acquired Reliance Industries in a deal valued at $1.2B.,Mary Barra,Reliance Industries,"Frankfurt, Germany",1887-06-24,acquisition,Business,reliance industries acquired reliance industries in a deal valued at b,reliance industry acquired reliance industry deal valued b
Pablo Picasso exhibited a new painting at Metropolitan Opera.,Pablo Picasso,Metropolitan Opera,"New York, USA",1544-06-27,painting,Arts,pablo picasso exhibited a new painting at metropolitan opera,pablo picasso exhibited new painting metropolitan opera
"Ludwig van Beethoven premiered a exhibition at Madrid, Spain.",Ludwig van Beethoven,Royal Academy,"Madrid, Spain",1770-03-04,exhibition,Arts,ludwig van beethoven premiered a exhibition at madrid spain,ludwig van beethoven premiered exhibition madrid spain
"The expedition marked a turning point in Berlin, Germany's history.",Cleopatra,Mughal Empire,"Berlin, Germany",1766-06-14,expedition,History,the expedition marked a turning point in berlin germanys history,expedition marked turning point berlin germany history
Marissa Mayer announced a new quantum computing at Intel.,Marissa Mayer; Elon Musk,Intel,"London, UK",1559-11-10,quantum computing,Technology,marissa mayer announced a new quantum computing at intel,marissa mayer announced new quantum computing intel
Jamie Dimon became CEO of Siemens following the acquisition.,Jamie Dimon,Siemens,"Frankfurt, Germany",1881-01-20,acquisition,Business,jamie dimon became ceo of siemens following the acquisition,jamie dimon became ceo siemens following acquisition
Max Planck Institute announced a climate study that impacts biology.,Rosalind Franklin,Max Planck Institute,"Cambridge, UK",1505-10-12,climate study,Science,max planck institute announced a climate study that impacts biology,max planck institute announced climate study impact biology
"The uprising marked a turning point in Delhi, India's history.",Queen Elizabeth I; Nelson Mandela,Allied Powers,"Delhi, India",1829-06-19,uprising,History,the uprising marked a turning point in delhi indias history,uprising marked turning point delhi india history
"Louvre Museum announced restoration of the painting in Paris, France.",Frida Kahlo; Beyoncé,Louvre Museum,"Paris, France",1865-07-03,painting,Arts,louvre museum announced restoration of the painting in paris france,louvre museum announced restoration painting paris france
Isaac Newton published findings on field research at NASA.,Isaac Newton,NASA,"Geneva, Switzerland",1834-06-04,field research,Science,isaac newton published findings on field research at nasa,isaac newton published finding field research nasa
"Lionel Messi led Wimbledon to victory at the final match in London, UK.",Lionel Messi,Wimbledon,"London, UK",1882-06-28,final match,Sports,lionel messi led wimbledon to victory at the final match in london uk,lionel messi led wimbledon victory final match london uk
Wimbledon announced a new season opener for 2023-2024.,Cristiano Ronaldo,Wimbledon,"Madrid, Spain",1501-01-11,season opener,Sports,wimbledon announced a new season opener for,wimbledon announced new season opener
"Records show coronation happened in Versailles, France around 1515-11-09.",Winston Churchill; Cleopatra,Ottoman Empire,"Versailles, France",1515-11-09,coronation,History,records show coronation happened in versailles france around,record show coronation happened versailles france around
IBM released a AI-driven sensors that improves AI-driven sensors.,Marissa Mayer; Elon Musk,IBM,"Silicon Valley, USA",1786-10-31,AI-driven sensors,Technology,ibm released a aidriven sensors that improves aidriven sensors,ibm released aidriven sensor improves aidriven sensor
"The coronation took place in Constantinople, Turkey and involved British Empire.",Mahatma Gandhi,British Empire,"Constantinople, Turkey",1845-07-15,coronation,History,the coronation took place in constantinople turkey and involved british empire,coronation took place constantinople turkey involved british empire
"Farmers in Nairobi, Kenya adopted irrigation technique adoption developed by International Rice Research Institute.",George Washington Carver,International Rice Research Institute,"Nairobi, Kenya",2019-08-26,irrigation technique adoption,Agriculture,farmers in nairobi kenya adopted irrigation technique adoption developed by international rice research institute,farmer nairobi kenya adopted irrigation technique adoption developed international rice research institute
"Louvre Museum announced restoration of the symphony in Paris, France.",Frida Kahlo,Louvre Museum,"Paris, France",1897-09-21,symphony,Arts,louvre museum announced restoration of the symphony in paris france,louvre museum announced restoration symphony paris france
"Tim Berners-Lee led the launch of a robotics in Bengaluru, India.",Tim Berners-Lee,Google,"Bengaluru, India",1774-09-23,robotics,Technology,tim bernerslee led the launch of a robotics in bengaluru india,tim bernerslee led launch robotics bengaluru india
"Serena Williams led Wimbledon to victory at the final match in Melbourne, Australia.",Serena Williams,Wimbledon,"Melbourne, Australia",1698-09-15,final match,Sports,serena williams led wimbledon to victory at the final match in melbourne australia,serena williams led wimbledon victory final match melbourne australia
A study on particle discovery led by Marie Curie was published on 1912-08-20.,Marie Curie,Max Planck Institute,"Cape Town, South Africa",1912-08-20,particle discovery,Science,a study on particle discovery led by marie curie was published on,study particle discovery led marie curie published
Albert Einstein published findings on particle discovery at CERN.,Albert Einstein,CERN,"Geneva, Switzerland",1818-09-09,particle discovery,Science,albert einstein published findings on particle discovery at cern,albert einstein published finding particle discovery cern
"M. S. Swaminathan led trials of yield improvement study in Iowa, USA.",M. S. Swaminathan,AgriTech Ltd,"Iowa, USA",1885-07-22,yield improvement study,Agriculture,m s swaminathan led trials of yield improvement study in iowa usa,swaminathan led trial yield improvement study iowa usa
IPO led to restructuring at Samsung.,Jamie Dimon,Samsung,"Seoul, South Korea",1630-07-10,IPO,Business,ipo led to restructuring at samsung,ipo led restructuring samsung
A study on climate study led by Isaac Newton was published on 1537-01-31.,Isaac Newton,Harvard University,"Cape Town, South Africa",1537-01-31,climate study,Science,a study on climate study led by isaac newton was published on,study climate study led isaac newton published
"Narendra Modi met leaders from Parliament in Washington, USA to discuss policy announcement.",Narendra Modi; Kamala Harris,Parliament; European Union,"Washington, USA",1971-02-02,policy announcement,Politics,narendra modi met leaders from parliament in washington usa to discuss policy announcement,narendra modi met leader parliament washington usa discus policy announcement
"Farmers in Nairobi, Kenya adopted pest control trial developed by ICAR.",Wangari Maathai,ICAR,"Nairobi, Kenya",1969-06-11,pest control trial,Agriculture,farmers in nairobi kenya adopted pest control trial developed by icar,farmer nairobi kenya adopted pest control trial developed icar
"Grace Hopper led the launch of a robotics in Silicon Valley, USA.",Grace Hopper; Marissa Mayer,IBM,"Silicon Valley, USA",1509-03-15,robotics,Technology,grace hopper led the launch of a robotics in silicon valley usa,grace hopper led launch robotics silicon valley usa
Leonardo da Vinci exhibited a new exhibition at Royal Academy.,Leonardo da Vinci,Royal Academy,"Paris, France",1744-01-03,exhibition,Arts,leonardo da vinci exhibited a new exhibition at royal academy,leonardo da vinci exhibited new exhibition royal academy
Albert Einstein published findings on particle discovery at CERN.,Albert Einstein; Marie Curie,CERN,"Geneva, Switzerland",1730-08-15,particle discovery,Science,albert einstein published findings on particle discovery at cern,albert einstein published finding particle discovery cern
Marie Curie published findings on field research at Harvard University.,Marie Curie,Harvard University,"Cambridge, UK",1986-10-15,field research,Science,marie curie published findings on field research at harvard university,marie curie published finding field research harvard university
"ICAR introduced a pest control trial to improve yields in Nairobi, Kenya.",Rachel Carson,ICAR,"Nairobi, Kenya",1776-07-25,pest control trial,Agriculture,icar introduced a pest control trial to improve yields in nairobi kenya,icar introduced pest control trial improve yield nairobi kenya
Mahatma Gandhi was a key figure in the coronation.,Mahatma Gandhi,Roman Senate,"Versailles, France",1628-12-30,coronation,History,mahatma gandhi was a key figure in the coronation,mahatma gandhi key figure coronation
"The battle marked a turning point in Berlin, Germany's history.",Winston Churchill,Mughal Empire,"Berlin, Germany",1543-04-14,battle,History,the battle marked a turning point in berlin germanys history,battle marked turning point berlin germany history
"Records show uprising happened in Delhi, India around 1577-11-19.",Nelson Mandela,Mughal Empire,"Delhi, India",1577-11-19,uprising,History,records show uprising happened in delhi india around,record show uprising happened delhi india around
"Cristiano Ronaldo led NBA to victory at the final match in Melbourne, Australia.",Cristiano Ronaldo,NBA,"Melbourne, Australia",1589-02-12,final match,Sports,cristiano ronaldo led nba to victory at the final match in melbourne australia,cristiano ronaldo led nba victory final match melbourne australia
"The tournament in Madrid, Spain featured Serena Williams and NBA.",Serena Williams,NBA,"Madrid, Spain",1761-06-14,tournament,Sports,the tournament in madrid spain featured serena williams and nba,tournament madrid spain featured serena williams nba
"Royal Academy announced restoration of the symphony in Vienna, Austria.",Beyoncé,Royal Academy,"Vienna, Austria",1774-05-22,symphony,Arts,royal academy announced restoration of the symphony in vienna austria,royal academy announced restoration symphony vienna austria
"Reliance Industries opened a new office in Seoul, South Korea to expand financial services.",Jamie Dimon,Reliance Industries,"Seoul, South Korea",1832-02-12,merger,Business,reliance industries opened a new office in seoul south korea to expand financial services,reliance industry opened new office seoul south korea expand financial service
Elon Musk announced a new robotics at Intel.,Elon Musk,Intel,"Silicon Valley, USA",1588-03-17,robotics,Technology,elon musk announced a new robotics at intel,elon musk announced new robotics intel
"Cristiano Ronaldo led NBA to victory at the final match in London, UK.",Cristiano Ronaldo; M.S. Dhoni,NBA,"London, UK",2010-10-25,final match,Sports,cristiano ronaldo led nba to victory at the final match in london uk,cristiano ronaldo led nba victory final match london uk
"The tournament in Madrid, Spain featured Cristiano Ronaldo and NBA.",Cristiano Ronaldo,NBA,"Madrid, Spain",1864-09-18,tournament,Sports,the tournament in madrid spain featured cristiano ronaldo and nba,tournament madrid spain featured cristiano ronaldo nba
"Ada Lovelace led the launch of a 5G networks in Bengaluru, India.",Ada Lovelace,Intel,"Bengaluru, India",1546-06-10,5G networks,Technology,ada lovelace led the launch of a g networks in bengaluru india,ada lovelace led launch g network bengaluru india
"A bill passage was passed by Congress impacting Geneva, Switzerland.",Narendra Modi,Congress; European Union,"Geneva, Switzerland",2019-03-27,bill passage,Politics,a bill passage was passed by congress impacting geneva switzerland,bill passage passed congress impacting geneva switzerland
"A summit was passed by United Nations impacting Washington, USA.",Kamala Harris,United Nations,"Washington, USA",1640-04-14,summit,Politics,a summit was passed by united nations impacting washington usa,summit passed united nation impacting washington usa
"Rachel Carson led trials of irrigation technique adoption in Punjab, India.",Rachel Carson,FAO,"Punjab, India",1817-12-04,irrigation technique adoption,Agriculture,rachel carson led trials of irrigation technique adoption in punjab india,rachel carson led trial irrigation technique adoption punjab india
"A famous exhibition by Frida Kahlo is housed in Metropolitan Opera in New York, USA.",Frida Kahlo; Leonardo da Vinci,Metropolitan Opera,"New York, USA",1779-08-08,exhibition,Arts,a famous exhibition by frida kahlo is housed in metropolitan opera in new york usa,famous exhibition frida kahlo housed metropolitan opera new york usa
A breakthrough in edge computing was reported by OpenAI.,Ada Lovelace,OpenAI; Google,"Stockholm, Sweden",1727-01-28,edge computing,Technology,a breakthrough in edge computing was reported by openai,breakthrough edge computing reported openai
A study by M. S. Swaminathan showed benefits of yield improvement study for wheat.,M. S. Swaminathan,AgriTech Ltd; ICAR,"Lima, Peru",1778-06-18,yield improvement study,Agriculture,a study by m s swaminathan showed benefits of yield improvement study for wheat,study swaminathan showed benefit yield improvement study wheat
Jamie Dimon became CEO of Reliance Industries following the IPO.,Jamie Dimon,Reliance Industries,"Mumbai, India",1586-03-10,IPO,Business,jamie dimon became ceo of reliance industries following the ipo,jamie dimon became ceo reliance industry following ipo
A breakthrough in robotics was reported by SpaceX.,Tim Berners-Lee,SpaceX,"Silicon Valley, USA",1716-07-29,quantum computing,Technology,a breakthrough in robotics was reported by spacex,breakthrough robotics reported spacex
"Narendra Modi announced policy changes regarding healthcare at New Delhi, India.",Narendra Modi,Congress,"New Delhi, India",1760-05-14,policy announcement,Politics,narendra modi announced policy changes regarding healthcare at new delhi india,narendra modi announced policy change regarding healthcare new delhi india
"A bill passage was passed by Parliament impacting New Delhi, India.",Barack Obama,Parliament,"New Delhi, India",1548-06-11,bill passage,Politics,a bill passage was passed by parliament impacting new delhi india,bill passage passed parliament impacting new delhi india
A study by Norman Borlaug showed benefits of yield improvement study for soybeans.,Norman Borlaug,CIMMYT,"Punjab, India",1614-01-17,yield improvement study,Agriculture,a study by norman borlaug showed benefits of yield improvement study for soybeans,study norman borlaug showed benefit yield improvement study soybean
"The tournament in Madrid, Spain featured Serena Williams and Team India.",Serena Williams; M.S. Dhoni,Team India,"Madrid, Spain",1898-11-09,tournament,Sports,the tournament in madrid spain featured serena williams and team india,tournament madrid spain featured serena williams team india
Leonardo da Vinci exhibited a new painting at Sydney Opera House.,Leonardo da Vinci,Sydney Opera House,"Madrid, Spain",1668-05-12,painting,Arts,leonardo da vinci exhibited a new painting at sydney opera house,leonardo da vinci exhibited new painting sydney opera house
A study by Norman Borlaug showed benefits of irrigation technique adoption for maize.,Norman Borlaug,FAO,"Lima, Peru",1726-10-12,irrigation technique adoption,Agriculture,a study by norman borlaug showed benefits of irrigation technique adoption for maize,study norman borlaug showed benefit irrigation technique adoption maize
restructuring led to restructuring at Samsung.,Mary Barra,Samsung,"Frankfurt, Germany",1998-03-25,restructuring,Business,restructuring led to restructuring at samsung,restructuring led restructuring samsung
A breakthrough in robotics was reported by Microsoft.,Elon Musk; Satya Nadella,Microsoft,"Silicon Valley, USA",1792-12-05,5G networks,Technology,a breakthrough in robotics was reported by microsoft,breakthrough robotics reported microsoft
"Siemens opened a new office in Seoul, South Korea to expand financial services.",Tim Cook,Siemens,"Seoul, South Korea",1711-06-11,restructuring,Business,siemens opened a new office in seoul south korea to expand financial services,siemens opened new office seoul south korea expand financial service
A study by Norman Borlaug showed benefits of irrigation technique adoption for wheat.,Norman Borlaug,ICAR; International Rice Research Institute,"Nairobi, Kenya",1672-01-29,irrigation technique adoption,Agriculture,a study by norman borlaug showed benefits of irrigation technique adoption for wheat,study norman borlaug showed benefit irrigation technique adoption wheat
Team India announced a new tournament for 2022-2023.,M.S. Dhoni,Team India,"London, UK",1561-02-02,tournament,Sports,team india announced a new tournament for,team india announced new tournament
"Barack Obama met leaders from European Union in Geneva, Switzerland to discuss policy announcement.",Barack Obama,European Union,"Geneva, Switzerland",1528-06-19,policy announcement,Politics,barack obama met leaders from european union in geneva switzerland to discuss policy announcement,barack obama met leader european union geneva switzerland discus policy announcement
"The battle marked a turning point in Rome, Italy's history.",Nelson Mandela,Ottoman Empire,"Rome, Italy",1727-02-06,battle,History,the battle marked a turning point in rome italys history,battle marked turning point rome italy history
"A bill passage was passed by Parliament impacting Geneva, Switzerland.",Angela Merkel,Parliament,"Geneva, Switzerland",1947-01-11,bill passage,Politics,a bill passage was passed by parliament impacting geneva switzerland,bill passage passed parliament impacting geneva switzerland
"A bill passage was passed by Congress impacting New Delhi, India.",Kamala Harris,Congress,"New Delhi, India",1923-12-20,bill passage,Politics,a bill passage was passed by congress impacting new delhi india,bill passage passed congress impacting new delhi india
"Cristiano Ronaldo led Team India to victory at the tournament in Madrid, Spain.",Cristiano Ronaldo,Team India,"Madrid, Spain",1748-01-09,tournament,Sports,cristiano ronaldo led team india to victory at the tournament in madrid spain,cristiano ronaldo led team india victory tournament madrid spain
"The uprising took place in Rome, Italy and involved Roman Senate.",Queen Elizabeth I,Roman Senate,"Rome, Italy",1964-04-17,uprising,History,the uprising took place in rome italy and involved roman senate,uprising took place rome italy involved roman senate
NBA announced a new final match for 2022-2023.,M.S. Dhoni,NBA,"London, UK",1980-02-04,final match,Sports,nba announced a new final match for,nba announced new final match
"The coronation took place in Delhi, India and involved Roman Senate.",Nelson Mandela,Roman Senate; Allied Powers,"Delhi, India",1913-10-07,coronation,History,the coronation took place in delhi india and involved roman senate,coronation took place delhi india involved roman senate
"M.S. Dhoni led NBA to victory at the season opener in Melbourne, Australia.",M.S. Dhoni,NBA,"Melbourne, Australia",1699-06-29,season opener,Sports,ms dhoni led nba to victory at the season opener in melbourne australia,m dhoni led nba victory season opener melbourne australia
Marie Curie published findings on climate study at Harvard University.,Marie Curie,Harvard University,"Cambridge, UK",1706-07-21,climate study,Science,marie curie published findings on climate study at harvard university,marie curie published finding climate study harvard university
"Rachel Carson led trials of irrigation technique adoption in Punjab, India.",Rachel Carson,AgriTech Ltd; CIMMYT,"Punjab, India",1854-01-13,irrigation technique adoption,Agriculture,rachel carson led trials of irrigation technique adoption in punjab india,rachel carson led trial irrigation technique adoption punjab india
A study on gene sequencing led by Albert Einstein was published on 1960-05-22.,Albert Einstein,Harvard University,"Cambridge, UK",1960-05-22,gene sequencing,Science,a study on gene sequencing led by albert einstein was published on,study gene sequencing led albert einstein published
Vincent van Gogh exhibited a new opera at Louvre Museum.,Vincent van Gogh,Louvre Museum,"New York, USA",1591-05-28,opera,Arts,vincent van gogh exhibited a new opera at louvre museum,vincent van gogh exhibited new opera louvre museum
"Kamala Harris announced policy changes regarding education at Washington, USA.",Kamala Harris,United Nations,"Washington, USA",1653-03-04,policy announcement,Politics,kamala harris announced policy changes regarding education at washington usa,kamala harris announced policy change regarding education washington usa
"The final match in Melbourne, Australia featured Serena Williams and Team India.",Serena Williams,Team India,"Melbourne, Australia",1600-01-03,final match,Sports,the final match in melbourne australia featured serena williams and team india,final match melbourne australia featured serena williams team india
Siemens acquired Tesla in a deal valued at $15M.,Mary Barra,Siemens; Goldman Sachs,"New York, USA",1939-06-27,acquisition,Business,siemens acquired tesla in a deal valued at m,siemens acquired tesla deal valued
IBM released a AI-driven sensors that improves quantum computing.,Ada Lovelace; Satya Nadella,IBM,"Bengaluru, India",1756-02-15,AI-driven sensors,Technology,ibm released a aidriven sensors that improves quantum computing,ibm released aidriven sensor improves quantum computing
"Metropolitan Opera announced restoration of the symphony in New York, USA.",Frida Kahlo,Metropolitan Opera,"New York, USA",1820-06-30,symphony,Arts,metropolitan opera announced restoration of the symphony in new york usa,metropolitan opera announced restoration symphony new york usa
Sundar Pichai became CEO of Goldman Sachs following the acquisition.,Sundar Pichai,Goldman Sachs; Tesla,"New York, USA",1753-07-27,acquisition,Business,sundar pichai became ceo of goldman sachs following the acquisition,sundar pichai became ceo goldman sachs following acquisition
Leonardo da Vinci exhibited a new installation at Sydney Opera House.,Leonardo da Vinci,Sydney Opera House; Tate Modern,"New York, USA",1705-02-07,installation,Arts,leonardo da vinci exhibited a new installation at sydney opera house,leonardo da vinci exhibited new installation sydney opera house
"Serena Williams led Team India to victory at the tournament in Madrid, Spain.",Serena Williams,Team India; FC Barcelona,"Madrid, Spain",1507-08-25,tournament,Sports,serena williams led team india to victory at the tournament in madrid spain,serena williams led team india victory tournament madrid spain
"Rachel Carson led trials of yield improvement study in Nairobi, Kenya.",Rachel Carson,CIMMYT,"Nairobi, Kenya",2020-06-10,yield improvement study,Agriculture,rachel carson led trials of yield improvement study in nairobi kenya,rachel carson led trial yield improvement study nairobi kenya
"The Treaty signing took place in Constantinople, Turkey and involved Mughal Empire.",Nelson Mandela,Mughal Empire,"Constantinople, Turkey",1609-01-25,Treaty signing,History,the treaty signing took place in constantinople turkey and involved mughal empire,treaty signing took place constantinople turkey involved mughal empire
OpenAI released a 5G networks that improves robotics.,Tim Berners-Lee,OpenAI,"Bengaluru, India",1808-06-08,5G networks,Technology,openai released a g networks that improves robotics,openai released g network improves robotics
"Farmers in Iowa, USA adopted pest control trial developed by ICAR.",George Washington Carver,ICAR,"Iowa, USA",1537-03-03,pest control trial,Agriculture,farmers in iowa usa adopted pest control trial developed by icar,farmer iowa usa adopted pest control trial developed icar
Marie Curie published findings on gene sequencing at CERN.,Marie Curie,CERN,"Cape Town, South Africa",1866-09-23,gene sequencing,Science,marie curie published findings on gene sequencing at cern,marie curie published finding gene sequencing cern
Harvard University announced a climate study that impacts climatology.,Isaac Newton,Harvard University,"Cambridge, UK",1599-10-06,climate study,Science,harvard university announced a climate study that impacts climatology,harvard university announced climate study impact climatology
Vincent van Gogh exhibited a new installation at Sydney Opera House.,Vincent van Gogh,Sydney Opera House,"Madrid, Spain",1677-02-01,installation,Arts,vincent van gogh exhibited a new installation at sydney opera house,vincent van gogh exhibited new installation sydney opera house
"A famous exhibition by Beyoncé is housed in Sydney Opera House in Paris, France.",Beyoncé,Sydney Opera House,"Paris, France",1729-06-05,exhibition,Arts,a famous exhibition by beyoncé is housed in sydney opera house in paris france,famous exhibition beyoncé housed sydney opera house paris france
"International Rice Research Institute introduced a irrigation technique adoption to improve yields in Punjab, India.",Norman Borlaug,International Rice Research Institute,"Punjab, India",1572-10-25,irrigation technique adoption,Agriculture,international rice research institute introduced a irrigation technique adoption to improve yields in punjab india,international rice research institute introduced irrigation technique adoption improve yield punjab india
"Leonardo da Vinci premiered a exhibition at New York, USA.",Leonardo da Vinci,Royal Academy,"New York, USA",1600-12-05,exhibition,Arts,leonardo da vinci premiered a exhibition at new york usa,leonardo da vinci premiered exhibition new york usa
NBA announced a new final match for 2022-2023.,Lionel Messi,NBA,"Melbourne, Australia",1923-01-24,final match,Sports,nba announced a new final match for,nba announced new final match
Beyoncé exhibited a new symphony at Sydney Opera House.,Beyoncé,Sydney Opera House,"Paris, France",1663-01-02,symphony,Arts,beyoncé exhibited a new symphony at sydney opera house,beyoncé exhibited new symphony sydney opera house
Marie Curie published findings on particle discovery at NASA.,Marie Curie,NASA,"Cambridge, UK",1915-10-03,particle discovery,Science,marie curie published findings on particle discovery at nasa,marie curie published finding particle discovery nasa
